qc_id,batch_id,inspection_date,moisture_level,oil_content,defect_rate,brc_compliance_score,inspector_name,status
QC000008,PR20220101615,2022-01-01 03:00:00,79.3,7.5,2.12,89,Turvi Varughese,Approved
QC000016,PR20220102760,2022-01-02 04:00:00,78.6,5.6,2.59,88,Nitesh Randhawa,Approved
QC000020,PR20220102352,2022-01-02 04:00:00,74.8,6.4,3.2,92,Saanvi Mital,Approved
QC000025,PR20220103551,2022-01-03 05:00:00,75.0,6.8,2.21,89,Sudiksha Mammen,Approved
QC000026,PR20220103168,2022-01-03 05:00:00,76.7,5.0,1.03,89,Om Koshy,Approved
QC000028,PR20220103368,2022-01-03 05:00:00,73.3,6.3,4.15,93,Vihaan Kulkarni,Rejected
QC000029,PR20220103939,2022-01-03 01:00:00,75.7,4.6,2.01,96,Varsha Luthra,Approved
QC000037,PR20220104413,2022-01-04 02:00:00,76.8,5.3,0.5,100,Janya Gola,Approved
QC000039,PR20220104797,2022-01-04 05:00:00,78.2,3.7,3.54,92,Mahika Vaidya,Rejected
QC000043,PR20220105266,2022-01-05 01:00:00,74.8,5.9,4.35,92,Jyoti Nagy,Approved
QC000048,PR20220105249,2022-01-05 03:00:00,73.2,6.9,0.67,97,Aadi Nath,Approved
QC000054,PR20220105185,2022-01-05 07:00:00,79.4,4.0,4.07,98,Vansha Borra,Approved
QC000055,PR20220105915,2022-01-05 07:00:00,72.5,4.6,3.35,95,Anay Dubey,Approved
QC000060,PR20220106423,2022-01-06 07:00:00,77.3,6.5,2.08,96,Diya Saraf,Approved
QC000063,PR20220106488,2022-01-06 03:00:00,77.3,5.1,3.05,100,Netra Rau,Approved
QC000065,PR20220106532,2022-01-06 05:00:00,76.4,3.8,4.31,90,Warinder Rattan,Approved
QC000066,PR20220106762,2022-01-06 06:00:00,78.9,4.0,2.37,99,Baljiwan Brar,Approved
QC000067,PR20220106825,2022-01-06 08:00:00,75.7,5.7,0.6,90,Lakshmi Shenoy,Approved
QC000068,PR20220106101,2022-01-06 08:00:00,78.1,7.3,1.14,97,Robert Sathe,Approved
QC000071,PR20220106891,2022-01-06 02:00:00,79.2,7.3,2.94,92,Megha Babu,Approved
QC000073,PR20220107647,2022-01-07 01:00:00,74.2,4.0,2.7,94,Abha Dasgupta,Approved
