farmer_id,farmer_name,region,farm_size_acres,contract_start_date,experience_years,contact_number,bank_account
F0001,Laban Verma,North Gujarat,40,2021-09-30,6,5308058815,GB63BHGG3866705075256
F0002,Zayan Sehgal,North Gujarat,30,2023-03-14,18,912223529437,GB49JSSU0845408768780
F0003,Sanya Patla,Central Gujarat,16,2024-02-23,18,5287680321,GB78YZME3497513181029
F0004,Luke Subramaniam,South Gujarat,44,2023-11-03,4,8367838358,GB91UEFY7587678355448
F0005,Balvan Krish,South Gujarat,9,2024-07-29,19,915018209715,GB91WPXQ7105613780431
F0006,Kashvi Hegde,South Gujarat,22,2022-10-23,22,917145394485,GB04MOUV0686050162888
F0007,Rudra Borah,North Gujarat,40,2023-08-03,14,2088296442,GB10CPGB1848215765705
F0008,Mason Butala,Kutch,20,2022-06-03,20,437341220,GB26CQGI3860016957640
F0009,Rudra Bedi,North Gujarat,24,2023-07-14,5,911667175799,GB72EFDV3168262074444
F0010,Urishilla Sangha,Kutch,12,2024-04-08,3,914982614266,GB90HKGW1157107117867
F0011,Jack Memon,Saurashtra,12,2023-03-06,3,916191939951,GB30RXZS6933841944133
F0012,Gayathri Khatri,North Gujarat,25,2022-12-29,21,916580450927,GB84KUKG9286835959663
F0013,Rohan Behl,North Gujarat,37,2023-12-03,13,6614932223,GB72KUSA6036980610973
F0014,Yashawini Trivedi,North Gujarat,41,2021-06-13,7,5491243776,GB34KRDK4191459074113
F0015,Dominic Lad,South Gujarat,25,2023-02-21,14,916413084212,GB87LGLY1083099471816
F0016,Watika Mangat,South Gujarat,4,2024-06-27,5,6715021773,GB59SLNE1465812522626
F0017,Lakshit Raja,Kutch,23,2023-04-11,3,4267404775,GB65NQCY3528515795620
F0018,Gaurika Sharma,Kutch,3,2024-09-05,3,1140708610,GB66WDRN1123523629152
F0019,Lipika Sahota,North Gujarat,25,2024-04-28,10,8690574286,GB90FICR9664239704735
F0020,Brijesh Wali,Kutch,45,2024-11-18,12,911458389116,GB97KJJR3873029748916
F0021,Isha Bhargava,South Gujarat,31,2023-08-04,13,7974006246,GB51XSOO2149340513167
F0022,Dominic Puri,Kutch,39,2024-10-24,14,9394446433,GB63DCBM8371759465186
F0023,Nicholas Ganesan,Saurashtra,3,2024-10-05,15,5864826099,GB50NLIW9423144825326
F0024,Gaurav Sahni,South Gujarat,22,2024-03-11,14,3827412988,GB79RFKE5958586788721
F0025,Indali Khare,Saurashtra,34,2023-09-02,16,3665089896,GB06SRPT7319476482841
F0026,Triveni Verma,Kutch,13,2021-11-24,4,2671951924,GB46ELMA9180617900247
F0027,Hardik Balay,Central Gujarat,23,2022-10-24,21,6588168425,GB28FIKF3342104588741
F0028,Victor Brahmbhatt,North Gujarat,45,2024-03-30,20,3834980327,GB55YTIW9114394451462
F0029,Thomas Babu,South Gujarat,26,2020-12-17,5,918159297619,GB55OUVR4911618994077
F0030,Inaya Badami,Saurashtra,28,2021-01-21,19,4383796924,GB28XEAI9660207973284
F0031,Garima Konda,Central Gujarat,43,2024-02-11,10,3586193736,GB90VVIZ8648199990821
F0032,Bimala Dhillon,Central Gujarat,29,2023-05-30,12,6369898728,GB23HHSW6146450967378
F0033,Vrishti Talwar,South Gujarat,17,2021-02-14,4,4812557110,GB96DHQT2979711140645
F0034,Keya Mani,South Gujarat,16,2021-03-01,21,5106956739,GB40KUEE8482587743848
F0035,Saanvi Goyal,Central Gujarat,48,2022-12-02,11,319903141,GB79BZJY1314756466954
F0036,Aarnav Sha,North Gujarat,45,2022-06-23,9,3979231284,GB91XSHI4338222995870
F0037,Diya Magar,North Gujarat,4,2024-03-24,6,912223813884,GB40CLSG6278959430064
F0038,Atharv Rana,Saurashtra,38,2023-03-25,23,8882683435,GB48FCAE8729746814509
F0039,Mahika Char,North Gujarat,8,2022-07-19,20,4576872901,GB37BQPR0567391700341
F0040,Janya Chokshi,Central Gujarat,22,2023-07-31,15,918034015873,GB51WRYX2941448942088
F0041,Bhavna Wagle,Central Gujarat,10,2023-07-02,13,916390588182,GB83DUSF1908714900749
F0042,Manbir Sawhney,Kutch,40,2022-04-07,6,1191169910,GB36JUKN4631763694920
F0043,Urvashi Setty,Central Gujarat,19,2022-12-27,23,102059695,GB76ZECG0398265239426
F0044,Jasmit Nagar,North Gujarat,5,2024-08-06,6,6973717270,GB59BBKT1615962347603
F0045,Bhavani Chaudhary,Saurashtra,26,2021-11-19,12,2169204358,GB61RXRJ7273547620736
F0046,Pahal Anand,Kutch,15,2023-10-19,7,2209614623,GB25SDFH5347956310090
F0047,Isaac Kapoor,North Gujarat,10,2024-05-02,11,919938653558,GB03TDAV5023242337965
F0048,Aayush Barman,Saurashtra,27,2022-01-27,5,851406653,GB73BLSX4617462523763
F0049,Ladli Chakraborty,North Gujarat,3,2022-05-07,19,912542629419,GB93VQVF4065897580180
F0050,Ekani Raju,Kutch,21,2022-05-01,5,7421436272,GB09JRKN8952676202628
F0051,Samarth Sharaf,Central Gujarat,29,2023-05-01,18,2854277296,GB18IDYA6159803080713
F0052,Kiaan Murthy,Kutch,48,2021-10-16,6,4830508574,GB44CSXS6833963932300
F0053,Vrinda Zachariah,Central Gujarat,8,2023-06-28,20,913175964545,GB91KPYD6603054350450
F0054,Ayush Sibal,Kutch,45,2023-01-17,19,8824274157,GB78FWFW1709978890997
F0055,Aadi Sundaram,South Gujarat,9,2023-01-24,9,4941542230,GB50NPQW4419743272326
F0056,Anvi Sinha,North Gujarat,48,2022-12-17,7,7809393813,GB81ZHNY6971547457829
F0057,Nidhi Deep,North Gujarat,36,2022-03-19,14,918112016631,GB89IMJG0907357927948
F0058,Zansi Gala,South Gujarat,15,2021-12-19,19,8621398343,GB71YGVQ3993978061469
F0059,Rudra Pau,Central Gujarat,18,2022-12-22,15,402939185,GB62PPMH9151505909345
